集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,02,青森県,L,学術研究，専門・技術サービス業,30～34歳,21.82,43.23,305.07
2010,02,青森県,L,学術研究，専門・技術サービス業,35～39歳,25.96,59.2,370.72
2010,02,青森県,L,学術研究，専門・技術サービス業,40～44歳,27.66,62.86,394.78
2010,02,青森県,L,学術研究，専門・技術サービス業,45～49歳,32.15,75.11,460.91
2010,02,青森県,L,学術研究，専門・技術サービス業,50～54歳,35.58,80.36,507.32
2010,02,青森県,L,学術研究，専門・技術サービス業,55～59歳,37.71,94.91,547.43
2010,02,青森県,L,学術研究，専門・技術サービス業,60～64歳,32.5,79.92,469.92
2010,02,青森県,L,学術研究，専門・技術サービス業,65～69歳,21.16,16.2,270.12
2010,02,青森県,L,学術研究，専門・技術サービス業,70歳～,8.86,0,106.32
2010,02,青森県,M,宿泊業，飲食サービス業,年齢計,18.27,16.71,235.95
2010,02,青森県,M,宿泊業，飲食サービス業,～19歳,12.87,4.86,159.3
2010,02,青森県,M,宿泊業，飲食サービス業,20～24歳,14.26,7.18,178.3
2010,02,青森県,M,宿泊業，飲食サービス業,25～29歳,14.83,8.15,186.11
2010,02,青森県,M,宿泊業，飲食サービス業,30～34歳,17.72,18.27,230.91
2010,02,青森県,M,宿泊業，飲食サービス業,35～39歳,21.17,39.05,293.09
2010,02,青森県,M,宿泊業，飲食サービス業,40～44歳,20.21,16.39,258.91
2010,02,青森県,M,宿泊業，飲食サービス業,45～49歳,19.24,9.46,240.34
2010,02,青森県,M,宿泊業，飲食サービス業,50～54歳,20.96,26.63,278.15
2010,02,青森県,M,宿泊業，飲食サービス業,55～59歳,20.01,14.5,254.62
2010,02,青森県,M,宿泊業，飲食サービス業,60～64歳,16.74,4.37,205.25
